dataset,byzantine_fraction,noise_variance,attack_mode,samples_per_node,noisy_train_accuracy,noisy_test_accuracy,noiseless_train_accuracy,noiseless_test_accuracy,median_train_accuracy,median_test_accuracy,krum_train_accuracy,krum_test_accuracy,hyperbolic_train_accuracy,hyperbolic_test_accuracy
spambase,0.4,200.0,add_noise,16,87.60869565217392,88.27361563517914,90.92391304347827,90.22801302931596,91.05978260869566,90.11943539630836,91.16847826086956,90.55374592833876,92.14673913043478,91.96525515743757
spambase,0.4,0.01,add_noise,32,90.65217391304347,90.22801302931596,90.40760869565217,90.01085776330075,90.43478260869566,89.57654723127035,91.03260869565217,90.33659066232356,91.84782608695652,90.98805646036917
spambase,0.4,0.1,add_noise,32,90.35326086956522,89.90228013029315,90.40760869565217,90.01085776330075,90.46195652173913,89.57654723127035,90.97826086956522,90.33659066232356,91.875,91.20521172638436
spambase,0.4,1.0,add_noise,32,91.0054347826087,90.01085776330075,90.40760869565217,90.01085776330075,90.59782608695653,89.57654723127035,90.97826086956522,90.33659066232356,91.82065217391305,91.09663409337676
spambase,0.4,10.0,add_noise,32,89.2663043478261,88.16503800217154,90.40760869565217,90.01085776330075,90.43478260869566,89.57654723127035,90.8695652173913,90.33659066232356,91.73913043478261,91.09663409337676
spambase,0.4,100.0,add_noise,32,88.20652173913044,88.81650380021715,90.65217391304347,90.22801302931596,90.48913043478261,89.57654723127035,90.97826086956522,90.22801302931596,91.71195652173914,90.98805646036917
spambase,0.4,200.0,add_noise,32,82.58152173913044,82.73615635179154,90.40760869565217,90.01085776330075,90.48913043478261,89.68512486427795,90.78804347826087,90.22801302931596,91.7663043478261,91.20521172638436
spambase,0.4,0.01,add_noise,64,90.40760869565217,89.68512486427795,90.40760869565217,89.79370249728555,90.35326086956522,89.57654723127035,90.46195652173913,90.01085776330075,91.08695652173913,90.33659066232356
spambase,0.4,0.1,add_noise,64,90.3804347826087,89.79370249728555,90.43478260869566,89.79370249728555,90.3804347826087,89.35939196525516,90.51630434782608,90.01085776330075,91.08695652173913,90.44516829533116
spambase,0.4,1.0,add_noise,64,90.46195652173913,89.68512486427795,90.40760869565217,89.79370249728555,90.29891304347825,89.46796959826275,90.57065217391305,89.90228013029315,91.05978260869566,90.22801302931596
