dataset	byzantine_fraction	noise_variance	attack_mode	samples_per_node	accuracy_type	accuracy	Aggregation Method
mnist	0.3	10.0	add_noise	64	noisy_train_accuracy	85.99666666666667	mean with noise
mnist	0.3	100.0	add_noise	64	noisy_train_accuracy	75.35333333333334	mean with noise
mnist	0.3	200.0	add_noise	64	noisy_train_accuracy	69.89666666666666	mean with noise
mnist	0.3	0.01	add_noise	128	noisy_train_accuracy	89.915	mean with noise
mnist	0.3	0.1	add_noise	128	noisy_train_accuracy	89.91666666666667	mean with noise
mnist	0.3	1.0	add_noise	128	noisy_train_accuracy	89.565	mean with noise
mnist	0.3	10.0	add_noise	128	noisy_train_accuracy	86.01166666666667	mean with noise
mnist	0.3	100.0	add_noise	128	noisy_train_accuracy	72.85000000000001	mean with noise
mnist	0.3	200.0	add_noise	128	noisy_train_accuracy	67.43	mean with noise
mnist	0.4	0.01	add_noise	16	noisy_train_accuracy	92.03333333333332	mean with noise
mnist	0.4	0.1	add_noise	16	noisy_train_accuracy	91.87166666666668	mean with noise
mnist	0.4	1.0	add_noise	16	noisy_train_accuracy	90.645	mean with noise
mnist	0.4	10.0	add_noise	16	noisy_train_accuracy	85.49333333333334	mean with noise
mnist	0.4	100.0	add_noise	16	noisy_train_accuracy	77.815	mean with noise
mnist	0.4	200.0	add_noise	16	noisy_train_accuracy	75.09166666666667	mean with noise
mnist	0.4	0.01	add_noise	32	noisy_train_accuracy	91.47166666666666	mean with noise
mnist	0.4	0.1	add_noise	32	noisy_train_accuracy	91.375	mean with noise
mnist	0.4	1.0	add_noise	32	noisy_train_accuracy	90.44	mean with noise
mnist	0.4	10.0	add_noise	32	noisy_train_accuracy	85.47	mean with noise
mnist	0.4	100.0	add_noise	32	noisy_train_accuracy	75.19500000000001	mean with noise
mnist	0.4	200.0	add_noise	32	noisy_train_accuracy	74.75666666666667	mean with noise
mnist	0.4	0.01	add_noise	64	noisy_train_accuracy	90.835	mean with noise
mnist	0.4	0.1	add_noise	64	noisy_train_accuracy	90.63333333333333	mean with noise
mnist	0.4	1.0	add_noise	64	noisy_train_accuracy	89.89833333333334	mean with noise
mnist	0.4	10.0	add_noise	64	noisy_train_accuracy	85.92333333333333	mean with noise
mnist	0.4	100.0	add_noise	64	noisy_train_accuracy	71.955	mean with noise
mnist	0.4	200.0	add_noise	64	noisy_train_accuracy	70.43	mean with noise
mnist	0.4	0.01	add_noise	128	noisy_train_accuracy	89.915	mean with noise
mnist	0.4	0.1	add_noise	128	noisy_train_accuracy	89.92	mean with noise
mnist	0.4	1.0	add_noise	128	noisy_train_accuracy	89.14	mean with noise
mnist	0.4	10.0	add_noise	128	noisy_train_accuracy	84.28	mean with noise
mnist	0.4	100.0	add_noise	128	noisy_train_accuracy	72.77	mean with noise
mnist	0.4	200.0	add_noise	128	noisy_train_accuracy	64.55333333333333	mean with noise
fashion_mnist	0.1	0.01	add_noise	16	noisy_train_accuracy	85.71166666666666	mean with noise
fashion_mnist	0.1	0.1	add_noise	16	noisy_train_accuracy	85.72	mean with noise
fashion_mnist	0.1	1.0	add_noise	16	noisy_train_accuracy	85.18166666666667	mean with noise
fashion_mnist	0.1	10.0	add_noise	16	noisy_train_accuracy	82.475	mean with noise
fashion_mnist	0.1	100.0	add_noise	16	noisy_train_accuracy	74.75	mean with noise
